geoplugin_request,geoplugin_status,geoplugin_delay,geoplugin_credit,geoplugin_city,geoplugin_region,geoplugin_regionCode,geoplugin_regionName,geoplugin_areaCode,geoplugin_dmaCode,geoplugin_countryCode,geoplugin_countryName,geoplugin_inEU,geoplugin_euVATrate,geoplugin_continentCode,geoplugin_continentName,geoplugin_latitude,geoplugin_longitude,geoplugin_locationAccuracyRadius,geoplugin_timezone,geoplugin_currencyCode,geoplugin_currencySymbol,geoplugin_currencySymbol_UTF8,geoplugin_currencyConverter
104.180.86.144,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Converse,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5211,-98.3293,10,America/Chicago,USD,$,$,0.0
104.181.128.75,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5652,-98.6145,5,America/Chicago,USD,$,$,0.0
104.182.14.234,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4059,-98.5078,50,America/Chicago,USD,$,$,0.0
104.182.14.96,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4059,-98.5078,50,America/Chicago,USD,$,$,0.0
104.182.15.214,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4059,-98.5078,50,America/Chicago,USD,$,$,0.0
104.184.220.38,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Alice,Texas,TX,Texas,,600,US,United States,0,False,NA,North America,27.7447,-98.082,50,America/Chicago,USD,$,$,0.0
104.184.230.44,200,0ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Duncan,South Carolina,SC,South Carolina,,567,US,United States,0,False,NA,North America,34.9183,-82.1246,50,America/New_York,USD,$,$,0.0
104.184.27.54,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4187,-98.6882,5,America/Chicago,USD,$,$,0.0
104.187.116.12,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Irving,Texas,TX,Texas,,623,US,United States,0,False,NA,North America,32.926,-96.9666,20,America/Chicago,USD,$,$,0.0
104.189.72.26,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5584,-98.7435,10,America/Chicago,USD,$,$,0.0
104.189.74.143,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5584,-98.7435,10,America/Chicago,USD,$,$,0.0
104.190.137.203,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Austin,Texas,TX,Texas,,635,US,United States,0,False,NA,North America,30.1746,-97.8203,5,America/Chicago,USD,$,$,0.0
104.190.242.24,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4614,-98.7468,5,America/Chicago,USD,$,$,0.0
104.190.242.242,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4614,-98.7468,5,America/Chicago,USD,$,$,0.0
104.190.247.101,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4614,-98.7468,5,America/Chicago,USD,$,$,0.0
104.190.247.231,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4614,-98.7468,5,America/Chicago,USD,$,$,0.0
104.190.249.199,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4187,-98.6882,5,America/Chicago,USD,$,$,0.0
104.190.250.60,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4187,-98.6882,5,America/Chicago,USD,$,$,0.0
104.190.255.174,200,0ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5584,-98.7435,10,America/Chicago,USD,$,$,0.0
104.190.255.78,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5584,-98.7435,10,America/Chicago,USD,$,$,0.0
104.191.1.102,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.5584,-98.7435,10,America/Chicago,USD,$,$,0.0
104.191.10.15,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4187,-98.6882,5,America/Chicago,USD,$,$,0.0
104.191.11.147,200,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.4187,-98.6882,5,America/Chicago,USD,$,$,0.0
104.191.12.108,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Boerne,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.7337,-98.6676,5,America/Chicago,USD,$,$,0.0
104.191.75.0,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",San Antonio,Texas,TX,Texas,,641,US,United States,0,False,NA,North America,29.6285,-98.437,5,America/Chicago,USD,$,$,0.0
104.192.171.99,200,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",Kansas City,Missouri,MO,Missouri,,616,US,United States,0,False,NA,North America,39.1029,-94.5713,1000,America/Chicago,USD,$,$,0.0
